name	dataset	alpha
ALL	-	0.5360162055324698
dataset_0	-	0.5332013042357936
dataset_1	-	0.5379644874192343
богадельня	0	0.23860504701177987
машина	0	0.4706179040516474
молодец	0	0.517250909090909
особа	0	0.12052075606824053
переулок	0	0.22660884108986956
больница	0	0.40197743311068346
декрет	0	0.2947737327434572
дождь	0	0.5434731543624162
заведующий	0	0.16468619246861915
мама	0	0.4629443612094798
насаждение	0	0.6390814168728398
неудачник	0	0.19669200257918285
овес	0	0.21452548062252053
отдел	0	0.3099245524696179
свалка	0	0.5423404007812357
сволочь	0	0.28441138421733514
серединный	0	0.1651409298964105
смотритель	0	0.07037203640982215
ссора	0	0.16039099526066347
трибунал	0	0.24440433212996393
червяк	0	0.5872089155023287
агентство	0	0.20553297905595502
археолог	0	0.1921616490371575
бюрократ	0	-0.009326711949272593
весна	0	0.38017413168206926
вино	0	0.9511415098744106
влажный	0	0.05761187945404034
войско	0	0.14514119601328923
вывеска	0	0.38418671994253395
графиня	0	0.016871496334627034
директор	0	0.037871287128713016
дума	0	0.8959364432094097
заключенный	0	0.7689655172413793
защитник	0	0.2788488735656788
знатный	0	0.5475640299352993
казенный	0	0.2245305246870165
классный	0	0.3710538694439476
клиника	0	0.5130340650874301
комиссар	0	0.22314533355241528
мазь	0	0.5939517630990812
новичок	0	0.09077929155313347
ночлег	0	0.138050906377711
обвинитель	0	0.16872997469175055
отделение	0	0.3851814631086783
отрывок	0	0.4251327944572747
пакет	0	0.45072664924885697
палата	0	0.35779824758481227
передовой	0	0.37103075227887405
пионер	0	0.4139719583693132
похищение	0	0.1984898843930636
правитель	0	0.22333728872424174
привет	0	0.373390199850799
присутствие	0	0.4366102168046897
прозвище	0	0.06002554278416361
пружина	0	0.34773215859030837
публика	0	0.060410834461150476
секция	0	0.3321313186184812
собор	0	0.6481422715853498
стиль	0	0.37294165164978554
тетка	0	0.2240526315789474
торжественный	0	0.07959410815092594
тройка	0	0.7663121807507259
трубка	0	0.810261155435287
уклон	0	0.5425618760242122
управа	0	0.5192127672424205
управление	0	0.45274128529182645
участок	0	0.37814864198962284
философ	0	0.08799227799227805
чиновник	0	0.07543103448275879
элемент	0	0.2875577993771822
юношество	0	0.30353105922624224
ателье	1	0.3496825712632037
бескомпромиссность	1	0.0008596973865199198
беспредел	1	0.06527249683143221
благотворительность	1	0.08747522790328988
блочный	1	0.44261774913237484
боевик	1	0.7220658938239986
ботаник	1	0.5080514095709552
брезентовый	1	0.12408923608502964
валюта	1	0.0850646079070595
валютный	1	0.17919725242166606
вампир	1	0.11299418433883579
взлом	1	0.3780435468049327
вирус	1	0.1710775716993499
выплеск	1	0.3889393939393939
высоколобый	1	0.4307192976207437
вышка	1	0.3401362812033283
гермафродит	1	0.09123222748815174
гильдия	1	0.27793478260869553
гимназия	1	0.11930935890167849
глянец	1	0.30068804904588764
гололед	1	0.0648900707891682
голубой	1	0.399734142081956
двушка	1	0.6703726981970795
дивизион	1	0.5039175482388367
донорство	1	0.31283287214734146
драйвер	1	0.5901285540020643
завязка	1	0.8558695652173913
загрузка	1	0.3669421147837526
знамя	1	0.36241424068236594
игра	1	0.2594991781881466
инкубатор	1	0.39668853118451197
исполнитель	1	0.38562781140667524
карта	1	0.6819127653737814
классный	1	0.6172108705572175
корпус	1	0.6695951061075972
лилипут	1	0.2513793103448275
ломберный	1	0.4499733378238051
мгновение	1	0.11415895289192857
модель	1	0.26592445948726684
мыло	1	0.666852960650439
одежда	1	0.0004610951008645614
однодневка	1	0.2175486897114307
орбита	1	0.6157800051400669
осуществимый	1	-0.03714854840186832
пакет	1	0.5893365339404588
партиец	1	0.17123162770341727
перестройка	1	0.4789673440341583
погрешность	1	0.26179974696000574
подстава	1	0.5940959409594095
предощущение	1	-0.045652173913043326
приношение	1	0.2780493103073749
прислуга	1	0.3085106382978723
приставка	1	0.6944657121326301
провальный	1	0.5198257254776562
продукция	1	0.32887806088496385
раскрутка	1	0.5454994728518713
рождество	1	0.4653870244129815
рынок	1	0.6294673920967004
рыночный	1	0.5460163554513731
свинцовый	1	0.5146564653617602
собака	1	0.5045373284126669
сомнение	1	0.04283442450277797
стаканчик	1	0.3810265183917879
стачка	1	0.5621847523497148
стиль	1	0.20705927051671724
удвоение	1	0.23086398258977148
флакон	1	0.36788684358063917
четырехлетка	1	0.3949143746756617
эрмитажный	1	0.14314689924446022
